household_id	person_id	trip_id	day_number	trip_sequence	start	end	start_lat	start_lon	end_lat	end_lon	start_time	end_time	mode	purpose
1427	718	6422	1	1	Home	Location #2	49.26898804	-123.1443519	49.205386	-122.90592	6:37 AM	7:20 AM	Transit	Work
1427	718	6423	1	2	Location #2	Home	49.205386	-122.90592	49.26898804	-123.1443519	3:58 PM	4:56 PM	Transit	Going Home
1427	718	6424	1	3	Home	Location #3	49.26898804	-123.1443519	49.278996	-122.919481	5:31 PM	5:51 PM	Auto Driver	University
1427	718	6425	1	4	Location #3	Location #4	49.278996	-122.919481	49.231252	-122.98479	7:31 PM	7:55 PM	Auto Driver	Recreational
1427	718	6426	1	5	Location #4	Home	49.231252	-122.98479	49.26898804	-123.1443519	10:10PM	10:25PM	Auto Driver	Going Home
1427	718	6428	2	1	Home	Location #2	49.26898804	-123.1443519	49.205386	-122.90592	06:53AM	07:25AM	Auto Driver	Work
1427	718	6429	2	2	Location #2	Home	49.205386	-122.90592	49.26898804	-123.1443519	03:53PM	4:35 PM	Auto Driver	Going Home
1427	718	6430	2	3	Home	Location #3	49.26898804	-123.1443519	49.27724482	-123.1335987	7:24 PM	07:37PM	Auto Driver	Social
1427	718	6431	2	4	Location #3	Home	49.27724482	-123.1335987	49.26898804	-123.1443519	10:43PM	10:59PM	Auto Driver	Going Home
1427	718	6433	3	1	Home	Location #2	49.26898804	-123.1443519	49.25674307	-123.0102463	09:11AM	09:27AM	Auto Passenger	Escorting
1427	718	6434	3	2	Location #2	Location #3	49.25674307	-123.0102463	49.12142979	-122.6737932	09:30AM	10:40AM	Auto Driver	Personal Business
1427	718	6435	3	3	Location #3	Home	49.12142979	-122.6737932	49.26898804	-123.1443519	11:37AM	12:04 PM	Auto Driver	Going Home
1427	718	6436	3	4	Home	Location #4	49.26898804	-123.1443519	49.27436435	-123.1308588	4:25 PM	04:43PM	Walk	Social
1427	718	6437	3	5	Location #4	Home	49.27436435	-123.1308588	49.26898804	-123.1443519	09:50PM	10:04PM	Walk	Going Home
2570	837	2524	1	1	Home	Location #2	49.33510707	-123.0953316	49.343242	-123.027212	12:57 PM	1:11 PM	Auto Driver	Personal Business
2570	837	2525	1	2	Location #2	Home	49.343242	-123.027212	49.33510707	-123.0953316	1:58 PM	2:12 PM	Auto Driver	Going Home
5347	9333	54393	1	1	Home	Location #2	49.21424	-123.060971	49.22472426	-123.0352543	11:00 AM	11:08 AM	Auto Passenger	Shopping
5347	9333	54394	1	2	Location #2	Location #3	49.22472426	-123.0352543	49.21491951	-122.9377019	12:05 PM	12:22 PM	Auto Passenger	Escorting
5347	9333	54395	1	3	Location #3	Home	49.21491951	-122.9377019	49.21424	-123.060971	12:47 PM	1:04 PM	Auto Passenger	Going Home
5347	9333	54396	1	4	Home	Location #5	49.21424	-123.060971	49.219354	-122.692358	2:41 PM	3:44 PM	Auto Passenger	Social
5347	9333	54397	1	5	Location #5	Home	49.219354	-122.692358	49.21424	-123.060971	9:06 PM	9:57 PM	Auto Passenger	Going Home
2142	3537	19408	1	1	Home	Location #2	49.34789675	-123.161802	49.25495785	-122.9161182	6:57 AM	7:25 AM	Auto Driver	Work
2142	3537	19409	1	2	Location #2	Location #3	49.25495785	-122.9161182	49.254023	-122.918473	1:00 PM	1:09 PM	Walk	Lunch
2142	3537	19410	1	3	Location #3	Location #2	49.254023	-122.918473	49.25495785	-122.9161182	1:26 PM	1:38 PM	Walk	Work
2142	3537	19411	1	4	Location #2	Home	49.25495785	-122.9161182	49.34789675	-123.161802	3:54 PM	4:34 PM	Auto Driver	Going Home
2142	3537	19412	1	5	Home	Location #4	49.34789675	-123.161802	49.344854	-123.145734	7:37 PM	7:40 PM	Auto Driver	Escorting
2142	3537	19413	1	6	Location #4	Home	49.344854	-123.145734	49.34789675	-123.161802	7:41 PM	7:48 PM	Auto Driver	Going Home
2142	3537	18845	2	1	Home	Location #2	49.34789675	-123.161802	49.25495785	-122.9161182	6:56 AM	7:20 AM	Auto Driver	Work
2142	3537	18846	2	2	Location #2	Location #3	49.25495785	-122.9161182	49.273145	-122.943907	11:48 AM	12:26 PM	Auto Driver	Lunch
2142	3537	18847	2	3	Location #3	Location #4	49.273145	-122.943907	49.28639399	-122.9703641	12:42 PM	12:48 PM	Auto Driver	Work
2142	3537	18848	2	4	Location #4	Home	49.28639399	-122.9703641	49.34789675	-123.161802	3:30 PM	3:59 PM	Auto Driver	Going Home
